sid,sub,pid,pred,oid,obj,class,score,path,rpath,time,softmaxscore
2254956,dbr:Harry_South,65,dbo:birthPlace,1966499,dbr:Fulham,1,0.06238594639406923,"[2254956, 3208131, 1966499]","[-1, 167, 500]",3.2772419452667236,0.2521680038930048
2032128,dbr:George_Eulas_Foster,65,dbo:birthPlace,1055674,"dbr:Carleton_County,_New_Brunswick",1,0.08987381724519983,"[2032128, 3776606, 1055674]","[-1, 65, 661]",2.0442678928375244,0.25629176709388196
1913392,dbr:Francis_Monkman,65,dbo:birthPlace,2225051,dbr:Hampstead,1,0.14593847787651962,"[1913392, 2225051]","[-1, 283]",1.9578118324279785,0.26747749848252417
5142051,dbr:Tim_Roper,65,dbo:birthPlace,2225051,dbr:Hampstead,1,0.048370423335657504,"[5142051, 502, 5346979, 2225051]","[-1, 660, 660, 65]",6.347341060638428,0.24863929836510984
4667008,dbr:Sewell_Stokes,65,dbo:birthPlace,2225051,dbr:Hampstead,1,0.05781379762421376,"[4667008, 4152322, 2667591, 2225051]","[-1, 480, 480, 167]",4.22294282913208,0.24971830754569338
1174684,dbr:Chris_Castle,65,dbo:birthPlace,4576076,"dbr:Sandusky,_Ohio",1,0.1697692239002973,"[1174684, 4576076]","[-1, 283]",1.9477248191833496,0.27220458740197573
5553623,dbr:Wu_Peifu,65,dbo:birthPlace,4677461,dbr:Shandong,1,0.08593504224075993,"[5553623, 4633127, 1200498, 4677461]","[-1, 57, 57, 167]",1.9830899238586426,0.2554538325891904
4446998,dbr:Ron_Hughes_(American_football),65,dbo:birthPlace,1119275,"dbr:Charleroi,_Pennsylvania",1,0.171576213133451,"[4446998, 1119282, 1119275]","[-1, 278, 116]",1.9501309394836426,0.27251402741492725
2943515,dbr:Kevin_Simm,65,dbo:birthPlace,1172212,dbr:Chorley,1,0.05893804120701148,"[2943515, 5286709, 1172212]","[-1, 394, 140]",3.3389151096343994,0.2517858954762419
1231684,dbr:Cliff_Griffith,65,dbo:birthPlace,3821542,"dbr:Nineveh,_Indiana",1,0.06414023602490475,"[1231684, 5287545, 3821542]","[-1, 394, 140]",2.293215036392212,0.25389629528391816
402279,dbr:Alan_Parker_(musician),65,dbo:birthPlace,3445457,"dbr:Matlock,_Derbyshire",1,0.06188596023256566,"[402279, 5286709, 3445457]","[-1, 394, 140]",3.775052070617676,0.25056680123567676
4563540,dbr:Samuel_Jacob_Jackson,65,dbo:birthPlace,4880142,dbr:Stradbally,1,0.07122241277857098,"[4563540, 2475936, 5439737, 4880142]","[-1, 65, 65, 65]",2.3772289752960205,0.2527548700548223
4112492,dbr:Philip_Hooker,65,dbo:birthPlace,4493458,"dbr:Rutland,_Massachusetts",1,0.059278251957872265,"[4112492, 2223369, 113, 2018124, 4493458]","[-1, 34, 660, 660, 339]",2.777660846710205,0.25126085118255087
2717241,"dbr:John_Latenser,_Sr.",65,dbo:birthPlace,3765649,dbr:Nendeln,1,0.12113002773267789,"[2717241, 3147208, 3765649]","[-1, 65, 140]",1.9553649425506592,0.26083492273285314
2726361,dbr:John_Patrick_Micklethwait_Brenan,65,dbo:birthPlace,1165849,dbr:Chislehurst,1,0.06136727736871771,"[2726361, 5286709, 1165849]","[-1, 394, 140]",3.2312209606170654,0.2517833381733387
3523081,dbr:Michael_Francis_Phelan,65,dbo:birthPlace,3269640,"dbr:Lynn,_Massachusetts",1,0.09667933847499739,"[3523081, 664052, 1604828, 3269640]","[-1, 592, 465, 167]",1.9671859741210938,0.25778314782743095
2574462,dbr:Jan_Baan,65,dbo:birthPlace,4374283,dbr:Rijssen,1,0.06751720072808629,"[2574462, 724989, 3771978, 4374283]","[-1, 309, 237, 140]",2.3646440505981445,0.2525267407187815
1554493,dbr:Donald_W._Nicholson,65,dbo:birthPlace,5446645,"dbr:Wareham,_Massachusetts",1,0.2044228812710539,"[1554493, 5446645]","[-1, 167]",1.9477458000183105,0.2794301011108334
5440137,dbr:Walter_Tucker_(Canadian_politician),65,dbo:birthPlace,4175332,dbr:Portage_la_Prairie,1,0.08100272349201222,"[5440137, 5512201, 2157740, 971079, 4175332]","[-1, 592, 65, 65, 167]",2.005579948425293,0.2549516950006292
2751051,dbr:Jonathan_Browning,65,dbo:birthPlace,4904342,"dbr:Sumner_County,_Tennessee",1,0.07179340347873972,"[2751051, 2469118, 4342023, 4904342]","[-1, 480, 480, 65]",2.279289960861206,0.2530398404523461
1182260,dbr:Chris_Woodhead,65,dbo:birthPlace,1632729,"dbr:Edmonton,_London",1,0.060373504062042144,"[1182260, 4201242, 4087914, 1632729]","[-1, 480, 480, 65]",3.712211847305298,0.2506682836596166
1067644,dbr:Carmine_Agnello,65,dbo:birthPlace,3960206,"dbr:Ozone_Park,_Queens",1,0.05760866612450187,"[1067644, 5287545, 3960206]","[-1, 394, 140]",3.9072458744049072,0.2512313913019435
3879836,dbr:Odean_Pope,65,dbo:birthPlace,3821536,"dbr:Ninety_Six,_South_Carolina",1,0.04893727039007126,"[3879836, 5001502, 1500296, 1483029, 1020311, 3821536]","[-1, 298, 298, 65, 167, 65]",6.462170124053955,0.24880113177487484
279980,dbr:A._Starker_Leopold,65,dbo:birthPlace,989174,"dbr:Burlington,_Iowa",1,0.1184237984346425,"[279980, 418462, 989174]","[-1, 111, 65]",1.9442548751831055,0.2619758038824718
5439018,dbr:Walter_Planckaert,65,dbo:birthPlace,3774750,dbr:Nevele,1,0.07381472240415508,"[5439018, 204, 5528960, 3774750]","[-1, 660, 660, 65]",1.9932239055633545,0.25483662097595156
1421942,dbr:David_Hunter_McAlpin,65,dbo:birthPlace,4152858,"dbr:Pleasant_Valley_(town),_New_York",1,0.054332745823757446,"[1421942, 502, 5122960, 4152858]","[-1, 660, 660, 65]",3.4761462211608887,0.2498409901991708
2420461,dbr:Ida_Chong,65,dbo:birthPlace,5357407,dbr:Victoria_(electoral_district),1,0.08329450608202534,"[2420461, 5357330, 4728088, 5357407]","[-1, 65, 65, 167]",2.039001941680908,0.254354041733883
2530321,dbr:Jackie_Oliver,65,dbo:birthPlace,1106367,dbr:Chadwell_Heath,1,0.06662166963441661,"[2530321, 5286709, 1106367]","[-1, 394, 140]",2.4127519130706787,0.25310552268107167
392927,dbr:Al_Hodge_(rock_musician),65,dbo:birthPlace,897468,dbr:Bodmin,1,0.07119672276613775,"[392927, 5069345, 1290526, 897468]","[-1, 55, 283, 95]",2.122685194015503,0.2528002383050295
1566312,dbr:Dougie_Vipond,65,dbo:birthPlace,1664746,dbr:Elderslie,1,0.07594672974483008,"[1566312, 4615546, 1664746]","[-1, 65, 140]",2.155470848083496,0.25354599136047506
