sid,sub,pid,pred,oid,obj,class,score,path,rpath,time,softmaxscore
392035.0,dbr:Al_Attles,599,dbo:team,2115741.0,dbr:Golden_State_Warriors,1,0.13283814959420182,"[392035, 2115741]","[-1, 189]",1.8290879726409912,0.26383142103671015
392035.0,dbr:Al_Attles,599,dbo:team,4119746.0,dbr:Phoenix_Suns,0,0.06061354009540694,"[392035, 3783749, 3612042, 4119746]","[-1, 65, 65, 189]",2.7860019207000732,0.24544815238212375
392035.0,dbr:Al_Attles,599,dbo:team,917821.0,dbr:Boston_Celtics,0,0.058820555286375295,"[392035, 3783749, 1725129, 917821]","[-1, 65, 65, 189]",3.1058390140533447,0.2450084618704946
392035.0,dbr:Al_Attles,599,dbo:team,3218267.0,dbr:Los_Angeles_Lakers,0,0.06168778185379381,"[392035, 2115741, 3259596, 3218267]","[-1, 189, 599, 189]",2.6413650512695312,0.24571196471067153
482030.0,dbr:Allen_Leavell,599,dbo:team,2364618.0,dbr:Houston_Rockets,1,0.13907595752836766,"[482030, 2364618]","[-1, 189]",1.6186330318450928,0.2627491158218623
482030.0,dbr:Allen_Leavell,599,dbo:team,1487110.0,dbr:Detroit_Pistons,0,0.08709872835107285,"[482030, 3889144, 644314, 1487110]","[-1, 123, 123, 189]",1.6287941932678223,0.2494410002992645
482030.0,dbr:Allen_Leavell,599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.0634755601300254,"[482030, 482032, 5237575, 1544654, 1544644, 1544650, 1156689]","[-1, 602, 599, 599, 602, 602, 599]",1.9174039363861084,0.24361746952938243
482030.0,dbr:Allen_Leavell,599,dbo:team,3516612.0,dbr:Miami_Heat,0,0.06583281079401872,"[482030, 2364618, 4012927, 3516612]","[-1, 189, 189, 599]",1.8694119453430176,0.2441924143494908
494082.0,dbr:Alvan_Adams,599,dbo:team,4119746.0,dbr:Phoenix_Suns,1,0.13907595752836766,"[494082, 4119746]","[-1, 189]",1.6793529987335205,0.2620351696753938
494082.0,dbr:Alvan_Adams,599,dbo:team,2450828.0,dbr:Indiana_Pacers,0,0.07464630061351975,"[494082, 3889272, 5456200, 2450828]","[-1, 123, 123, 189]",1.7898659706115723,0.24568471639056316
494082.0,dbr:Alvan_Adams,599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.07452656677558306,"[494082, 3889272, 1232606, 1156689]","[-1, 123, 123, 189]",1.767711877822876,0.24565530137756864
494082.0,dbr:Alvan_Adams,599,dbo:team,3516612.0,dbr:Miami_Heat,0,0.07846543168169083,"[494082, 3889272, 2621025, 3516612]","[-1, 123, 123, 189]",1.6880249977111816,0.24662481255647434
846737.0,dbr:Bill_Bradley,599,dbo:team,3782014.0,dbr:New_York_Knicks,1,0.08504671819450738,"[846737, 1321700, 846745, 3782014]","[-1, 65, 65, 189]",1.6859729290008545,0.2549454883256374
846737.0,dbr:Bill_Bradley,599,dbo:team,4525720.0,dbr:Sacramento_Kings,0,0.05687781143116225,"[846737, 769522, 3461924, 4525720]","[-1, 480, 480, 189]",4.851473808288574,0.24786415754779356
846737.0,dbr:Bill_Bradley,599,dbo:team,4628461.0,dbr:Seattle_SuperSonics,0,0.06178936200093435,"[846737, 1321700, 846745, 4196744, 949061, 4628461]","[-1, 65, 65, 123, 123, 189]",3.356152057647705,0.24908454944696207
846737.0,dbr:Bill_Bradley,599,dbo:team,4567127.0,dbr:San_Antonio_Spurs,0,0.05785225411655863,"[846737, 769522, 5492355, 4567127]","[-1, 480, 480, 189]",4.833590030670166,0.24810580467960686
851870.0,dbr:Bill_Russell,599,dbo:team,917821.0,dbr:Boston_Celtics,1,0.11695001960302556,"[851870, 851874, 917821]","[-1, 602, 599]",1.5679998397827148,0.25929355949808874
851870.0,dbr:Bill_Russell,599,dbo:team,4628461.0,dbr:Seattle_SuperSonics,0,0.07813524042568051,"[851870, 4568464, 4080867, 4628461]","[-1, 123, 123, 189]",1.6658799648284912,0.2494219585865655
851870.0,dbr:Bill_Russell,599,dbo:team,4119746.0,dbr:Phoenix_Suns,0,0.06464012914460118,"[851870, 3636406, 4446389, 4119746]","[-1, 65, 65, 189]",2.2074899673461914,0.24607859179341857
851870.0,dbr:Bill_Russell,599,dbo:team,2364618.0,dbr:Houston_Rockets,0,0.06108739087767352,"[851870, 685564, 2780445, 2364618]","[-1, 189, 189, 599]",2.593780040740967,0.24520589012192723
890343.0,dbr:Bob_Pettit,599,dbo:team,685564.0,dbr:Atlanta_Hawks,1,0.13132449578659033,"[890343, 685564]","[-1, 189]",1.6524372100830078,0.2613444594455846
890343.0,dbr:Bob_Pettit,599,dbo:team,4628461.0,dbr:Seattle_SuperSonics,0,0.07515562818958527,"[890343, 3038271, 2097918, 4628461]","[-1, 123, 123, 189]",1.8540630340576172,0.2470696887663353
890343.0,dbr:Bob_Pettit,599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.06881635190275753,"[890343, 3038271, 2099823, 2099825, 1156689]","[-1, 123, 123, 602, 599]",2.0577080249786377,0.24550839969708027
890343.0,dbr:Bob_Pettit,599,dbo:team,3218267.0,dbr:Los_Angeles_Lakers,0,0.0711315228785993,"[890343, 3038271, 931893, 3218267]","[-1, 123, 123, 599]",1.9102602005004883,0.24607745209099988
1029025.0,dbr:Calvin_Murphy,599,dbo:team,2364618.0,dbr:Houston_Rockets,1,0.13907595752836766,"[1029025, 2364618]","[-1, 189]",1.545262098312378,0.26211198151801085
1029025.0,dbr:Calvin_Murphy,599,dbo:team,4567127.0,dbr:San_Antonio_Spurs,0,0.06453876810400616,"[1029025, 2364618, 2287973, 4567127]","[-1, 189, 601, 601]",2.132969856262207,0.24328525247869215
1029025.0,dbr:Calvin_Murphy,599,dbo:team,5452049.0,dbr:Washington_Wizards,0,0.08262640319938855,"[1029025, 3789441, 3562163, 5452049]","[-1, 123, 123, 189]",1.5993139743804932,0.24772574529353722
1029025.0,dbr:Calvin_Murphy,599,dbo:team,3218267.0,dbr:Los_Angeles_Lakers,0,0.07919445548232396,"[1029025, 3789441, 908505, 3218267]","[-1, 123, 123, 189]",1.7427220344543457,0.2468770207097596
1397869.0,dbr:Darrell_Griffith,599,dbo:team,5305646.0,dbr:Utah_Jazz,1,0.1436043090277156,"[1397869, 5305646]","[-1, 189]",1.5689971446990967,0.2636302407883307
