sid,sub,pid,pred,oid,obj,class,score,time,softmaxscore
2254956,dbr:Harry_South,65,dbo:birthPlace,1966499,dbr:Fulham,1,0.03887434139593837,18.219321966171265,0.25328599140142033
2032128,dbr:George_Eulas_Foster,65,dbo:birthPlace,1055674,"dbr:Carleton_County,_New_Brunswick",1,0.03855440071458773,7.87925910949707,0.25333753388312014
1913392,dbr:Francis_Monkman,65,dbo:birthPlace,2225051,dbr:Hampstead,1,0.15462973270230027,7.654397964477539,0.27603010481581636
5142051,dbr:Tim_Roper,65,dbo:birthPlace,2225051,dbr:Hampstead,1,0.010061829523744781,12.766940832138062,0.2503196612802092
4667008,dbr:Sewell_Stokes,65,dbo:birthPlace,2225051,dbr:Hampstead,1,0.025414486641551274,19.096690893173218,0.2515482575190135
1174684,dbr:Chris_Castle,65,dbo:birthPlace,4576076,"dbr:Sandusky,_Ohio",1,0.16586309371963887,19.572475910186768,0.279157316987612
5553623,dbr:Wu_Peifu,65,dbo:birthPlace,4677461,dbr:Shandong,1,0.05758343972077403,6.692798852920532,0.2570761685558209
4446998,dbr:Ron_Hughes_(American_football),65,dbo:birthPlace,1119275,"dbr:Charleroi,_Pennsylvania",1,0.06608246429066057,7.3478100299835205,0.25899021029723535
2943515,dbr:Kevin_Simm,65,dbo:birthPlace,1172212,dbr:Chorley,1,0.027195477846739632,11.936651945114136,0.2518432930042427
1231684,dbr:Cliff_Griffith,65,dbo:birthPlace,3821542,"dbr:Nineveh,_Indiana",1,0.014038664910748865,15.595130920410156,0.25058752926490213
402279,dbr:Alan_Parker_(musician),65,dbo:birthPlace,3445457,"dbr:Matlock,_Derbyshire",1,0.02472061097902703,18.410403966903687,0.2508194645990137
4563540,dbr:Samuel_Jacob_Jackson,65,dbo:birthPlace,4880142,dbr:Stradbally,1,0.02399064810046636,7.9689881801605225,0.25109585112674426
4112492,dbr:Philip_Hooker,65,dbo:birthPlace,4493458,"dbr:Rutland,_Massachusetts",1,0.02289113790856161,13.97493290901184,0.2498822654621221
2717241,"dbr:John_Latenser,_Sr.",65,dbo:birthPlace,3765649,dbr:Nendeln,1,0.036346477835281485,31.69206404685974,0.2517359750914467
2726361,dbr:John_Patrick_Micklethwait_Brenan,65,dbo:birthPlace,1165849,dbr:Chislehurst,1,0.02226427329222071,17.803934812545776,0.25096236694365165
3523081,dbr:Michael_Francis_Phelan,65,dbo:birthPlace,3269640,"dbr:Lynn,_Massachusetts",1,0.07694621035104297,5.859877824783325,0.2613715649927633
2574462,dbr:Jan_Baan,65,dbo:birthPlace,4374283,dbr:Rijssen,1,0.015282603630268515,10.910521984100342,0.24989761269243835
1554493,dbr:Donald_W._Nicholson,65,dbo:birthPlace,5446645,"dbr:Wareham,_Massachusetts",1,0.23709728358489832,5.64307713508606,0.29370114019932836
5440137,dbr:Walter_Tucker_(Canadian_politician),65,dbo:birthPlace,4175332,dbr:Portage_la_Prairie,1,0.046271792227783874,6.843808889389038,0.2552111147441475
2751051,dbr:Jonathan_Browning,65,dbo:birthPlace,4904342,"dbr:Sumner_County,_Tennessee",1,0.021054068976547855,13.705190896987915,0.2506008893694314
1182260,dbr:Chris_Woodhead,65,dbo:birthPlace,1632729,"dbr:Edmonton,_London",1,0.029210411197255988,15.555527925491333,0.2520730017559584
1067644,dbr:Carmine_Agnello,65,dbo:birthPlace,3960206,"dbr:Ozone_Park,_Queens",1,0.023274061813829985,12.600348949432373,0.251570908220904
3879836,dbr:Odean_Pope,65,dbo:birthPlace,3821536,"dbr:Ninety_Six,_South_Carolina",1,0.01382978150613443,28.41808795928955,0.24870780262728212
279980,dbr:A._Starker_Leopold,65,dbo:birthPlace,989174,"dbr:Burlington,_Iowa",1,0.051645844188242834,12.21305799484253,0.2562689010994168
5439018,dbr:Walter_Planckaert,65,dbo:birthPlace,3774750,dbr:Nevele,1,0.006290252434976779,3.4306631088256836,0.24858824142212094
1421942,dbr:David_Hunter_McAlpin,65,dbo:birthPlace,4152858,"dbr:Pleasant_Valley_(town),_New_York",1,0.006736680271251572,6.589993000030518,0.24841471176180369
2420461,dbr:Ida_Chong,65,dbo:birthPlace,5357407,dbr:Victoria_(electoral_district),1,0.028914679872756855,7.009432792663574,0.25096576397420683
2530321,dbr:Jackie_Oliver,65,dbo:birthPlace,1106367,dbr:Chadwell_Heath,1,0.01874299757254671,18.2850661277771,0.25107435228624586
392927,dbr:Al_Hodge_(rock_musician),65,dbo:birthPlace,897468,dbr:Bodmin,1,0.02203090796787456,9.978029012680054,0.25043896557772233
1566312,dbr:Dougie_Vipond,65,dbo:birthPlace,1664746,dbr:Elderslie,1,0.030855448656215714,9.666731119155884,0.25217532098006135
2127420,dbr:Gordon_Wilkins,65,dbo:birthPlace,3672458,dbr:Mudgee,1,0.02086019644922521,9.208287000656128,0.25119351865930695
2561825,dbr:James_Macrae,65,dbo:birthPlace,713613,dbr:Ayrshire,1,0.022476622782870378,15.668342113494873,0.25097426369143816
2692963,dbr:John_Bell_(barrister),65,dbo:birthPlace,2925377,dbr:Kendal,1,0.022583935028038765,9.341571807861328,0.25037870172074467
2481870,dbr:Isaac_G._Perry,65,dbo:birthPlace,812643,"dbr:Bennington,_Vermont",1,0.047867191943138834,9.254754066467285,0.25490356837721795
5322747,dbr:Valerie_Young,65,dbo:birthPlace,666987,"dbr:Ashburton,_New_Zealand",1,0.013451661579253114,4.532756805419922,0.24906541250084843
3085948,dbr:Lawrence_Cherney,65,dbo:birthPlace,4098104,"dbr:Peterborough,_Ontario",1,0.020922949657807492,12.62445616722107,0.2510644331545953
1474476,dbr:Denys_Stoyan,65,dbo:birthPlace,2369214,dbr:Hrebinky,1,0.029316312229556735,9.180808067321777,0.25272841520083433
1191216,dbr:Christine_Truman,65,dbo:birthPlace,5546065,dbr:Woodford_Green,1,0.018747967551042122,12.065107107162476,0.24900535856055162
2033464,dbr:George_Gilbert_Hoskins,65,dbo:birthPlace,812641,"dbr:Bennington,_New_York",1,0.07159292354704896,6.4434051513671875,0.2599348554076106
668966,dbr:Ashley_Sexton,65,dbo:birthPlace,3208271,dbr:London_Borough_of_Enfield,1,0.012028149884642934,5.501278877258301,0.250823922294804
3036893,dbr:LD_Beghtol,65,dbo:birthPlace,1899463,dbr:Fort_Campbell,1,0.018193561572258533,19.487985849380493,0.24985313414308535
1690573,dbr:Emil_Andres,65,dbo:birthPlace,5149462,"dbr:Tinley_Park,_Illinois",1,0.010273247840890926,26.3627769947052,0.24990564082964206
664368,"dbr:Asahel_Finch,_Jr.",65,dbo:birthPlace,2020662,"dbr:Genoa,_New_York",1,0.017251561704688462,12.14690899848938,0.2505070242772911
5111779,dbr:Thomas_Costello_(hurler),65,dbo:birthPlace,1045411,dbr:Cappawhite,1,0.12976461845671242,5.277713060379028,0.2721242372421297
2781380,dbr:Joshua_King,65,dbo:birthPlace,3234760,"dbr:Lowick,_Cumbria",1,0.027230525493777576,6.813506841659546,0.25141295852195195
1926616,dbr:Frank_Liddell,65,dbo:birthPlace,3309483,"dbr:Maitland,_New_South_Wales",1,0.020019396595536434,22.527754068374634,0.24983483950220237
2614646,dbr:Jean_Rouppert,65,dbo:birthPlace,1329748,dbr:Custines,1,0.005200167270435022,12.08956003189087,0.2499528944861352
1677273,dbr:Elizabeth_Stuart_Phelps_Ward,65,dbo:birthPlace,531186,"dbr:Andover,_Massachusetts",1,0.031647656203449094,12.759814977645874,0.2525714634217464
4033294,dbr:Paul_Keenan,65,dbo:birthPlace,3166380,dbr:Lisbon,1,0.01990827314215867,29.912358045578003,0.25067729144316897
1544880,dbr:Dominic_de_la_Calzada,65,dbo:birthPlace,5369734,dbr:Viloria_de_Rioja,1,0.020015351638384457,8.996644973754883,0.2503050266590097
4364707,dbr:Richard_Stovin,65,dbo:birthPlace,5485444,"dbr:Whitgift,_East_Riding_of_Yorkshire",1,0.07730758809994105,10.739577054977417,0.2613969294797668
1129676,dbr:Charles_Moss_(bishop_of_Bath_and_Wells),65,dbo:birthPlace,4179229,dbr:Postwick_with_Witton,1,0.02646182146504628,6.683220148086548,0.25089468123853415
1432329,dbr:David_Sharp_(entomologist),65,dbo:birthPlace,5202646,dbr:Towcester,1,0.008091156861716823,24.305158853530884,0.25013078622553975
375075,dbr:Ahtyba_Rubin,65,dbo:birthPlace,1899381,dbr:Fort_Belvoir,1,0.019550449806414183,11.71233606338501,0.2500033815812157
4032242,dbr:Paul_Hollywood,65,dbo:birthPlace,5432532,dbr:Wallasey,1,0.05467310840094018,7.494197845458984,0.25583343866395614
812363,dbr:Bennett_Campbell,65,dbo:birthPlace,3637849,"dbr:Montague,_Prince_Edward_Island",1,0.10178828772945585,5.163565158843994,0.2656307158902535
1389550,dbr:Danthala_Venkata_Meher_Baba,65,dbo:birthPlace,2867064,dbr:Kakinada,1,0.005582890950627467,3.3806519508361816,0.24803105086756172
2573083,dbr:Jamie_Warren,65,dbo:birthPlace,2231286,"dbr:Hanover,_Ontario",1,0.24069093827973287,8.198458909988403,0.29387016704348196
3215544,dbr:Lorenzo_Camerano,65,dbo:birthPlace,841205,dbr:Biella,1,0.015632673733134043,25.62502884864807,0.25066196098114757
3396750,dbr:Mark_Rae,65,dbo:birthPlace,667668,dbr:Ashington,1,0.03152547286405187,11.554121971130371,0.2512041567281825
2348052,dbr:Homer_Curran,65,dbo:birthPlace,4808470,"dbr:Springfield,_Missouri",1,0.01953179644394466,22.45941996574402,0.2513564943158824
5216390,dbr:Trevor_Burton,65,dbo:birthPlace,677959,dbr:Aston,1,0.02619099091979362,7.8610520362854,0.25085812049580275
1552890,dbr:Donald_G._Jackson,65,dbo:birthPlace,5214797,"dbr:Tremont,_Mississippi",1,0.022496103083904567,17.736670970916748,0.250477767326277
2647294,dbr:Jill_Lajdziak,65,dbo:birthPlace,952893,"dbr:Brillion,_Wisconsin",1,0.006781629089979113,5.9461669921875,0.2501444715013732
2715641,dbr:John_Kellum,65,dbo:birthPlace,2288376,"dbr:Hempstead,_New_York",1,0.02178838952181155,17.17980694770813,0.25174096629417547
3791281,dbr:Nicholas_Conyngham_Tindal,65,dbo:birthPlace,1145257,dbr:Chelmsford,1,0.0762460233429878,10.15137004852295,0.26042273638369445
678937,dbr:Astrid_Bussink,65,dbo:birthPlace,1653919,dbr:Eibergen,1,0.017429746025510715,20.61574101448059,0.2508838580517399
2125005,dbr:Gordon_Arthur_Riley,65,dbo:birthPlace,5460389,"dbr:Webb_City,_Missouri",1,0.026000311741980475,11.169163942337036,0.24999132237109264
5122016,dbr:Thomas_Scott_(Ohio),65,dbo:birthPlace,3894613,"dbr:Oldtown,_Maryland",1,0.027575623730334037,12.300203084945679,0.25059196975619036
4255718,dbr:Rachel_Matkin,65,dbo:birthPlace,1938838,dbr:Fraser_Canyon,1,0.32459801881036515,13.438997030258179,0.312030293773245
2594467,dbr:Jason_Kutney,65,dbo:birthPlace,1952457,"dbr:Freehold_Borough,_New_Jersey",1,0.019572394448661427,24.308488130569458,0.25047927312031065
5510974,dbr:William_Hutchinson_(Australian_politician),65,dbo:birthPlace,3308387,dbr:Maindample,1,0.030242666396185815,6.41894793510437,0.2519353439359406
4091399,dbr:Peter_McLaren_(politician),65,dbo:birthPlace,3061731,"dbr:Lanark,_Ontario",1,0.05252821124779759,5.919466972351074,0.25579364580507874
4560418,dbr:Samson_Mason,65,dbo:birthPlace,1899308,"dbr:Fort_Ann_(village),_New_York",1,0.06859992339284553,7.553583145141602,0.25926541211455606
2031363,dbr:George_Dromgoole,65,dbo:birthPlace,3087263,"dbr:Lawrenceville,_Virginia",1,0.12062492745303376,5.12580418586731,0.2691849753737738
2372424,dbr:Hubert_Derache,65,dbo:birthPlace,3652522,dbr:Morteau,1,0.01687164560720213,27.675737857818604,0.25006839839328954
2375257,dbr:Hugh_J._Anderson,65,dbo:birthPlace,5536431,"dbr:Wiscasset,_Maine",1,0.04144873367373474,6.320547103881836,0.2545098668139076
2247963,dbr:Harriet_Andreassen,65,dbo:birthPlace,5362584,dbr:Vikna,1,0.009534157057892945,5.52561092376709,0.25029087809153916
1234809,dbr:Clive_Brooks,65,dbo:birthPlace,922002,"dbr:Bow,_London",1,0.017737571889556308,19.471240997314453,0.25078102332381613
5521155,dbr:William_Story_(attorney),65,dbo:birthPlace,5455266,"dbr:Waukesha_County,_Wisconsin",1,0.014059964152226677,24.962087869644165,0.24980291546463734
1648535,dbr:Edwin_Godsall,65,dbo:birthPlace,5192736,dbr:Toowoomba,1,0.029269505299985937,12.132331848144531,0.25258201928358426
3424722,dbr:Mary_Allitt,65,dbo:birthPlace,1466030,dbr:Deniliquin,1,0.03467099931264288,6.385583877563477,0.2532021698963707
2676670,dbr:Joe_Melia,65,dbo:birthPlace,2488233,dbr:Islington,1,0.033186213909595356,7.999185800552368,0.2529217512297964
4012658,dbr:Pat_O'Connor_(hurler),65,dbo:birthPlace,1282708,dbr:Coolderry,1,0.04649254249725374,3.946308135986328,0.25491684183981034
4115011,dbr:Philippa_Perry,65,dbo:birthPlace,5449340,dbr:Warrington,1,0.030842052211203716,15.955754041671753,0.2510644485607894
2773163,dbr:Joseph_Horton,65,dbo:birthPlace,1262201,dbr:Colwall,1,0.010870596028047562,4.691920042037964,0.25021933663746215
2298618,dbr:Henry_Horton_(sportsman),65,dbo:birthPlace,1262201,dbr:Colwall,1,0.010870596028047562,4.675323963165283,0.2504160927243375
1644584,dbr:Edward_Lavin_Girroir,65,dbo:birthPlace,5206610,"dbr:Tracadie,_Nova_Scotia",1,0.0,10.956872940063477,0.2465393059412912
4852874,dbr:Stephen_C._West,65,dbo:birthPlace,3846808,dbr:North_Ferriby,1,0.020150807581331722,9.983322143554688,0.24942901354586217
3823766,dbr:Nisar_Ahmed_Faruqi,65,dbo:birthPlace,516253,dbr:Amroha,1,0.024509216317882283,7.4436728954315186,0.25056971123456395
3128067,dbr:Lesley_B._Wells,65,dbo:birthPlace,3688254,"dbr:Muskegon,_Michigan",1,0.025112960822297605,17.84109091758728,0.2519616497503238
5591125,dbr:Yizhi_Jane_Tao,65,dbo:birthPlace,1161664,dbr:China,1,0.023829104309119567,26.631350994110107,0.25110814087477934
1944258,dbr:Fred_W._Riggs,65,dbo:birthPlace,1161664,dbr:China,1,0.03948944685970867,25.411576986312866,0.2531668201617598
2755851,dbr:Jonn_Penney,65,dbo:birthPlace,4238769,dbr:Quarry_Bank,1,0.01631392202901607,9.248219966888428,0.25078316360788033
3842951,dbr:Norman_Hughes,65,dbo:birthPlace,3726831,dbr:Nantwich,1,0.021496855430599388,19.381844997406006,0.24966907397119054
5175863,dbr:Tommy_Burks,65,dbo:birthPlace,1282269,"dbr:Cookeville,_Tennessee",1,0.2204817981813427,6.90005898475647,0.28914703344999726
2722459,dbr:John_Mickel_(politician),65,dbo:birthPlace,3682484,dbr:Murgon,1,0.04028245402655948,6.125895977020264,0.25413547438471495
2717490,dbr:John_Leake,65,dbo:birthPlace,4462984,dbr:Rotherhithe,1,0.025080813415409808,16.142220973968506,0.2507854256695286
656520,dbr:Arthur_Twidle,65,dbo:birthPlace,4462984,dbr:Rotherhithe,1,0.009526277213521379,13.917549133300781,0.24986206407340522
629642,dbr:Argo_Aadli,65,dbo:birthPlace,3019382,"dbr:Kunda,_Estonia",1,0.031064385783693905,6.7626330852508545,0.2527827966604713
1724496,dbr:Eric_Simms_(rugby_league),65,dbo:birthPlace,2895468,"dbr:Karuah,_New_South_Wales",1,0.010075022133147885,10.083558797836304,0.24966285795606685
1487958,dbr:Devaki_Nandan_Khatri,65,dbo:birthPlace,4556282,dbr:Samastipur,1,0.03423764536400077,8.531200170516968,0.2530641853521222
1376970,dbr:Daniel_O'Mahony,65,dbo:birthPlace,1319150,dbr:Croydon,1,0.022829181183042616,20.498905897140503,0.25105545757480147
4086250,dbr:Peter_Flannery,65,dbo:birthPlace,2591378,dbr:Jarrow,1,0.02571247831035892,25.284492015838623,0.2506340908242992
2041073,dbr:George_Pyman,65,dbo:birthPlace,4575965,dbr:Sandsend,1,0.020638027616434403,10.410479068756104,0.2509085192191011
2252637,dbr:Harry_Jensen,65,dbo:birthPlace,3786189,"dbr:Newtown,_New_South_Wales",1,0.03346474942658605,9.96111512184143,0.2516002336219979
1944971,dbr:Freddie_McKay,65,dbo:birthPlace,4538097,dbr:Saint_Catherine_Parish,1,0.18073398819460745,6.5608460903167725,0.28250113651471614
4030500,dbr:Paul_G._Hewitt,65,dbo:birthPlace,4599049,"dbr:Saugus,_Massachusetts",1,0.02589702220875211,18.73293399810791,0.251140798621311
1220763,dbr:Clark_Williams,65,dbo:birthPlace,1038121,"dbr:Canandaigua_(town),_New_York",1,0.020183800113506536,17.51515507698059,0.2508097524308618
1911448,dbr:Francis_Chavasse,65,dbo:birthPlace,4918531,dbr:Sutton_Coldfield,1,0.01663582891535384,15.54939889907837,0.25025308510731453
1621313,dbr:Ed_Ames,65,dbo:birthPlace,3319196,"dbr:Malden,_Massachusetts",1,0.20680326680825892,14.007755994796753,0.2875014656836357
2301071,dbr:Henry_Olin,65,dbo:birthPlace,4672010,"dbr:Shaftsbury,_Vermont",1,0.05820046320145721,5.831120014190674,0.25704515318616183
2691550,dbr:John_B._McColl,65,dbo:birthPlace,3684018,"dbr:Murray_Township,_Ontario",1,0.026240975754980654,7.147984981536865,0.2511736953854507
4423947,dbr:Rodolphe_Forget,65,dbo:birthPlace,5006177,"dbr:Terrebonne,_Quebec",1,0.03744440558155976,7.029120922088623,0.2536940639787503
4744196,dbr:Siva_Nageswara_Rao,65,dbo:birthPlace,5298922,dbr:Uppalapadu,1,0.020574177954304215,10.60826301574707,0.25035149574458493
1434392,dbr:David_Tredinnick_(actor),65,dbo:birthPlace,2098675,"dbr:Glen_Waverley,_Victoria",1,0.02064215702262776,18.34460186958313,0.25049877396311854
405249,dbr:Alastair_Layzell,65,dbo:birthPlace,2636367,dbr:Jersey,1,0.039604139096546115,13.247728109359741,0.2532015140088811
3786384,dbr:Nexhat_Daci,65,dbo:birthPlace,5340315,dbr:Veliki_Trnovac,1,0.05429499352783881,12.847936868667603,0.25688066026712647
5115371,dbr:Thomas_Henderson_(New_Jersey),65,dbo:birthPlace,1952463,"dbr:Freehold_Township,_New_Jersey",1,0.22440184466410756,6.993432998657227,0.290657086888954
2596248,dbr:Jason_Witczak,65,dbo:birthPlace,3846844,"dbr:North_Fond_du_Lac,_Wisconsin",1,0.014632539173422549,16.001572132110596,0.24934067244643307
4488588,dbr:Russell_Benjamin_Harrison,65,dbo:birthPlace,3958246,"dbr:Oxford,_Ohio",1,0.0670155743428782,11.99913501739502,0.25954513158159087
