sid,sub,pid,pred,oid,obj,class,score,path,rpath,time,softmaxscore
2254956,dbr:Harry_South,65,dbo:birthPlace,1966499,dbr:Fulham,1,0.08656694804080504,"[2254956, 3208131, 1966499]","[-1, 167, 500]",2.7187089920043945,0.2567924508520466
2032128,dbr:George_Eulas_Foster,65,dbo:birthPlace,1055674,"dbr:Carleton_County,_New_Brunswick",1,0.12356978568813971,"[2032128, 3776606, 1055674]","[-1, 65, 661]",2.5732781887054443,0.26310669089405464
1913392,dbr:Francis_Monkman,65,dbo:birthPlace,2225051,dbr:Hampstead,1,0.8493711915062735,"[1913392, 2225051]","[-1, 283]",2.700084924697876,0.4244321693541497
5142051,dbr:Tim_Roper,65,dbo:birthPlace,2225051,dbr:Hampstead,1,0.048162004686425085,"[5142051, 502, 5346979, 2225051]","[-1, 660, 660, 65]",2.8934860229492188,0.2510027921917786
4667008,dbr:Sewell_Stokes,65,dbo:birthPlace,2225051,dbr:Hampstead,1,0.06368533499761303,"[4667008, 1705443, 2029609, 2225051]","[-1, 394, 167, 167]",2.670085906982422,0.25197697882063097
1174684,dbr:Chris_Castle,65,dbo:birthPlace,4576076,"dbr:Sandusky,_Ohio",1,0.8493711915062735,"[1174684, 4576076]","[-1, 283]",2.4823219776153564,0.4256469325240086
5553623,dbr:Wu_Peifu,65,dbo:birthPlace,4677461,dbr:Shandong,1,0.1100032795169011,"[5553623, 4633127, 1200498, 4677461]","[-1, 57, 57, 167]",2.5239028930664062,0.2607860704447984
4446998,dbr:Ron_Hughes_(American_football),65,dbo:birthPlace,1119275,"dbr:Charleroi,_Pennsylvania",1,0.1188858853130136,"[4446998, 1119282, 1119275]","[-1, 278, 116]",2.6118061542510986,0.2637016983964763
2943515,dbr:Kevin_Simm,65,dbo:birthPlace,1172212,dbr:Chorley,1,0.06542280817580878,"[2943515, 5286709, 1172212]","[-1, 394, 140]",2.7989001274108887,0.2532072752175174
1231684,dbr:Cliff_Griffith,65,dbo:birthPlace,3821542,"dbr:Nineveh,_Indiana",1,0.05971779888219662,"[1231684, 5287545, 3821542]","[-1, 394, 140]",2.6146152019500732,0.2537906886620142
402279,dbr:Alan_Parker_(musician),65,dbo:birthPlace,3445457,"dbr:Matlock,_Derbyshire",1,0.06542280817580878,"[402279, 5286709, 3445457]","[-1, 394, 140]",2.5272250175476074,0.2507922233939804
4563540,dbr:Samuel_Jacob_Jackson,65,dbo:birthPlace,4880142,dbr:Stradbally,1,0.0851938319908243,"[4563540, 2475936, 5439737, 4880142]","[-1, 65, 65, 65]",2.559654951095581,0.25665131859328705
4112492,dbr:Philip_Hooker,65,dbo:birthPlace,4493458,"dbr:Rutland,_Massachusetts",1,0.05006437667820677,"[4112492, 3782272, 5287545, 4493458]","[-1, 551, 140, 140]",2.8715860843658447,0.24973978962709567
2717241,"dbr:John_Latenser,_Sr.",65,dbo:birthPlace,3765649,dbr:Nendeln,1,0.15147584661661176,"[2717241, 3147208, 3765649]","[-1, 65, 140]",2.4911739826202393,0.2653229967842987
2726361,dbr:John_Patrick_Micklethwait_Brenan,65,dbo:birthPlace,1165849,dbr:Chislehurst,1,0.06596426325879039,"[2726361, 2944743, 461757, 2931416, 1165849]","[-1, 167, 65, 167, 500]",2.52817702293396,0.2525942562128898
3523081,dbr:Michael_Francis_Phelan,65,dbo:birthPlace,3269640,"dbr:Lynn,_Massachusetts",1,0.11511206783317454,"[3523081, 3436159, 5517041, 3269640]","[-1, 500, 500, 65]",2.493366003036499,0.26265967111396815
2574462,dbr:Jan_Baan,65,dbo:birthPlace,4374283,dbr:Rijssen,1,0.05571441718066403,"[2574462, 724989, 3771978, 4374283]","[-1, 309, 339, 140]",2.505002975463867,0.2517788689041645
1554493,dbr:Donald_W._Nicholson,65,dbo:birthPlace,5446645,"dbr:Wareham,_Massachusetts",1,0.962037978497001,"[1554493, 5446645]","[-1, 167]",2.5756921768188477,0.4546881861197673
5440137,dbr:Walter_Tucker_(Canadian_politician),65,dbo:birthPlace,4175332,dbr:Portage_la_Prairie,1,0.08423690160168872,"[5440137, 5512201, 2157740, 971079, 4175332]","[-1, 592, 65, 65, 167]",2.5662519931793213,0.2571560931278771
2751051,dbr:Jonathan_Browning,65,dbo:birthPlace,4904342,"dbr:Sumner_County,_Tennessee",1,0.05971779888219662,"[2751051, 5287545, 4904342]","[-1, 394, 140]",2.6453490257263184,0.25293099747828707
1182260,dbr:Chris_Woodhead,65,dbo:birthPlace,1632729,"dbr:Edmonton,_London",1,0.0690905304115189,"[1182260, 1246645, 1246647, 3208271, 4723606, 1632729]","[-1, 65, 339, 339, 339, 339]",2.484628915786743,0.2538297468037266
1067644,dbr:Carmine_Agnello,65,dbo:birthPlace,3960206,"dbr:Ozone_Park,_Queens",1,0.06419587977330067,"[1067644, 5357758, 960485, 4719171, 3960206]","[-1, 578, 65, 65, 167]",2.5242807865142822,0.25278386399164315
3879836,dbr:Odean_Pope,65,dbo:birthPlace,3821536,"dbr:Ninety_Six,_South_Carolina",1,0.04046403785474839,"[3879836, 2258973, 4110444, 3878578, 4787197, 3821536]","[-1, 45, 65, 167, 65, 301]",3.9292049407958984,0.2478881583215544
279980,dbr:A._Starker_Leopold,65,dbo:birthPlace,989174,"dbr:Burlington,_Iowa",1,0.14951077989811234,"[279980, 418462, 989174]","[-1, 111, 65]",2.4821600914001465,0.2697481471476262
5439018,dbr:Walter_Planckaert,65,dbo:birthPlace,3774750,dbr:Nevele,1,0.06501752701691332,"[5439018, 204, 5528960, 3774750]","[-1, 660, 660, 65]",2.5449960231781006,0.2543498831096135
1421942,dbr:David_Hunter_McAlpin,65,dbo:birthPlace,4152858,"dbr:Pleasant_Valley_(town),_New_York",1,0.04604749438730943,"[1421942, 502, 5122960, 4152858]","[-1, 660, 660, 65]",2.9988701343536377,0.2500232346046663
2420461,dbr:Ida_Chong,65,dbo:birthPlace,5357407,dbr:Victoria_(electoral_district),1,0.0975296304027938,"[2420461, 5357330, 4728088, 5357407]","[-1, 65, 65, 167]",2.556514024734497,0.2581759327936783
2530321,dbr:Jackie_Oliver,65,dbo:birthPlace,1106367,dbr:Chadwell_Heath,1,0.06542280817580878,"[2530321, 5286709, 1106367]","[-1, 394, 140]",2.5574100017547607,0.2544256230981698
392927,dbr:Al_Hodge_(rock_musician),65,dbo:birthPlace,897468,dbr:Bodmin,1,0.06542280817580878,"[392927, 5286709, 897468]","[-1, 394, 140]",2.516495943069458,0.2516597698628755
1566312,dbr:Dougie_Vipond,65,dbo:birthPlace,1664746,dbr:Elderslie,1,0.09375632275302961,"[1566312, 4615546, 1664746]","[-1, 65, 140]",2.535731077194214,0.2564816620854507
2127420,dbr:Gordon_Wilkins,65,dbo:birthPlace,3672458,dbr:Mudgee,1,0.055549268256523676,"[2127420, 2180380, 3656056, 2553275, 3676873, 2030523, 3672458]","[-1, 592, 167, 167, 65, 65, 167]",2.496424913406372,0.2515457326049572
2561825,dbr:James_Macrae,65,dbo:birthPlace,713613,dbr:Ayrshire,1,0.0639132802978027,"[2561825, 303, 5110568, 713613]","[-1, 660, 660, 65]",2.4855358600616455,0.2534228054486096
2692963,dbr:John_Bell_(barrister),65,dbo:birthPlace,2925377,dbr:Kendal,1,0.063021451671792,"[2692963, 1705443, 5120757, 2925377]","[-1, 394, 65, 65]",2.52097487449646,0.25097661800174736
2481870,dbr:Isaac_G._Perry,65,dbo:birthPlace,812643,"dbr:Bennington,_Vermont",1,0.08060004512042332,"[2481870, 2353439, 2353438, 1746377, 812643]","[-1, 34, 339, 339, 395]",2.5080161094665527,0.25580882790079534
5322747,dbr:Valerie_Young,65,dbo:birthPlace,666987,"dbr:Ashburton,_New_Zealand",1,0.08796494792245572,"[5322747, 3783066, 3683794, 666987]","[-1, 65, 65, 65]",2.757382869720459,0.25561599871176705
3085948,dbr:Lawrence_Cherney,65,dbo:birthPlace,4098104,"dbr:Peterborough,_Ontario",1,0.06838112997833606,"[3085948, 1036538, 4098104]","[-1, 394, 140]",2.554565906524658,0.2532488931835338
1474476,dbr:Denys_Stoyan,65,dbo:birthPlace,2369214,dbr:Hrebinky,1,0.1011642485030751,"[1474476, 5274037, 2369214]","[-1, 65, 140]",2.5241169929504395,0.2599741958446904
1191216,dbr:Christine_Truman,65,dbo:birthPlace,5546065,dbr:Woodford_Green,1,0.06993489344307284,"[1191216, 5286709, 5546065]","[-1, 140, 140]",2.534356117248535,0.2516602052445878
2033464,dbr:George_Gilbert_Hoskins,65,dbo:birthPlace,812641,"dbr:Bennington,_New_York",1,0.20022438013245805,"[2033464, 5556041, 812641]","[-1, 65, 301]",2.4785971641540527,0.2778113627814936
668966,dbr:Ashley_Sexton,65,dbo:birthPlace,3208271,dbr:London_Borough_of_Enfield,1,0.0653753151635048,"[668966, 101, 1922830, 3208271]","[-1, 660, 660, 65]",2.5392370223999023,0.2541474736770347
3036893,dbr:LD_Beghtol,65,dbo:birthPlace,1899463,dbr:Fort_Campbell,1,0.05389831505109102,"[3036893, 5287545, 404122, 1899463]","[-1, 394, 65, 65]",2.6999199390411377,0.2497763857416385
1690573,dbr:Emil_Andres,65,dbo:birthPlace,5149462,"dbr:Tinley_Park,_Illinois",1,0.05162510657945772,"[1690573, 5287545, 2081403, 5149462]","[-1, 394, 394, 283]",2.9573869705200195,0.25044094747262996
664368,"dbr:Asahel_Finch,_Jr.",65,dbo:birthPlace,2020662,"dbr:Genoa,_New_York",1,0.06383991553800576,"[664368, 5287545, 2020662]","[-1, 140, 140]",2.6201579570770264,0.2532561460403067
5111779,dbr:Thomas_Costello_(hurler),65,dbo:birthPlace,1045411,dbr:Cappawhite,1,0.1594560772799085,"[5111779, 1045412, 1758139, 1045411]","[-1, 65, 599, 65]",2.530198097229004,0.2720684746211482
2781380,dbr:Joshua_King,65,dbo:birthPlace,3234760,"dbr:Lowick,_Cumbria",1,0.07665661169260934,"[2781380, 5278561, 1326198, 3234760]","[-1, 65, 140, 140]",2.4937820434570312,0.25521795621786136
1926616,dbr:Frank_Liddell,65,dbo:birthPlace,3309483,"dbr:Maitland,_New_South_Wales",1,0.05200217036008206,"[1926616, 5287545, 1417213, 3309483]","[-1, 394, 167, 65]",3.278534173965454,0.24894982824026318
2614646,dbr:Jean_Rouppert,65,dbo:birthPlace,1329748,dbr:Custines,1,0.03923947977023611,"[2614646, 502, 1127593, 2745328, 1222142, 1329748]","[-1, 660, 660, 65, 167, 65]",3.927941083908081,0.2501242459304234
1677273,dbr:Elizabeth_Stuart_Phelps_Ward,65,dbo:birthPlace,531186,"dbr:Andover,_Massachusetts",1,0.1012235973491738,"[1677273, 3436140, 531186]","[-1, 65, 661]",2.535423994064331,0.2599035333917764
4033294,dbr:Paul_Keenan,65,dbo:birthPlace,3166380,dbr:Lisbon,1,0.048162004686425085,"[4033294, 502, 5654744, 3166380]","[-1, 660, 660, 65]",2.8527321815490723,0.24999733655678627
1544880,dbr:Dominic_de_la_Calzada,65,dbo:birthPlace,5369734,dbr:Viloria_de_Rioja,1,0.06633552382262357,"[1544880, 4584792, 4795087, 5369734]","[-1, 167, 140, 140]",2.50539493560791,0.25253122275263706
4364707,dbr:Richard_Stovin,65,dbo:birthPlace,5485444,"dbr:Whitgift,_East_Riding_of_Yorkshire",1,0.18043530060329624,"[4364707, 1948881, 5485444]","[-1, 505, 65]",2.4757649898529053,0.27665473071732793
1129676,dbr:Charles_Moss_(bishop_of_Bath_and_Wells),65,dbo:birthPlace,4179229,dbr:Postwick_with_Witton,1,0.0766035700599119,"[1129676, 3208131, 5119558, 4179229]","[-1, 167, 167, 65]",2.5433311462402344,0.2531737656242943
1432329,dbr:David_Sharp_(entomologist),65,dbo:birthPlace,5202646,dbr:Towcester,1,0.035002681625356864,"[1432329, 6060984, 4297190, 3849135, 5202646]","[-1, 660, 660, 659, 140]",4.418622016906738,0.24902605677741166
375075,dbr:Ahtyba_Rubin,65,dbo:birthPlace,1899381,dbr:Fort_Belvoir,1,0.05630242478310138,"[375075, 25, 3070119, 1899381]","[-1, 660, 660, 65]",2.6267831325531006,0.2506460063378756
4032242,dbr:Paul_Hollywood,65,dbo:birthPlace,5432532,dbr:Wallasey,1,0.13173854927443612,"[4032242, 5536287, 4624335, 5432532]","[-1, 65, 339, 339]",2.4901812076568604,0.26224005680029405
