sid,sub,pid,pred,oid,obj,class,score,path,rpath,time,softmaxscore
392035.0,dbr:Al_Attles,599,dbo:team,2115741.0,dbr:Golden_State_Warriors,1,0.5103733865718019,"[392035, 2115741]","[-1, 189]",2.7330050468444824,0.3450090932666322
392035.0,dbr:Al_Attles,599,dbo:team,4119746.0,dbr:Phoenix_Suns,0,0.0539302590308006,"[392035, 2115741, 4864843, 4119746]","[-1, 189, 599, 189]",2.603318929672241,0.21857465932285366
392035.0,dbr:Al_Attles,599,dbo:team,917821.0,dbr:Boston_Celtics,0,0.048974079585431735,"[392035, 78, 2573184, 917821]","[-1, 660, 660, 599]",2.7249081134796143,0.2174940441623553
392035.0,dbr:Al_Attles,599,dbo:team,3218267.0,dbr:Los_Angeles_Lakers,0,0.05551904298856319,"[392035, 2115741, 3259596, 3218267]","[-1, 189, 599, 189]",2.5443971157073975,0.21892220324815898
482030.0,dbr:Allen_Leavell,599,dbo:team,2364618.0,dbr:Houston_Rockets,1,0.5103733865718019,"[482030, 2364618]","[-1, 189]",2.639319896697998,0.3405023497231385
482030.0,dbr:Allen_Leavell,599,dbo:team,1487110.0,dbr:Detroit_Pistons,0,0.08688759955073648,"[482030, 3889144, 644314, 1487110]","[-1, 123, 123, 189]",2.4729321002960205,0.22294748252376217
482030.0,dbr:Allen_Leavell,599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.06570748017074449,"[482030, 4160079, 1482225, 1156689]","[-1, 462, 462, 599]",2.5169360637664795,0.21827508387654967
482030.0,dbr:Allen_Leavell,599,dbo:team,3516612.0,dbr:Miami_Heat,0,0.06570748017074449,"[482030, 4160079, 5248379, 3516612]","[-1, 462, 462, 599]",2.6401588916778564,0.21827508387654967
494082.0,dbr:Alvan_Adams,599,dbo:team,4119746.0,dbr:Phoenix_Suns,1,0.5103733865718019,"[494082, 4119746]","[-1, 189]",2.474606990814209,0.3421832774985369
494082.0,dbr:Alvan_Adams,599,dbo:team,2450828.0,dbr:Indiana_Pacers,0,0.06530871173134457,"[494082, 4182344, 3696858, 2450828]","[-1, 462, 462, 599]",2.512772798538208,0.2192651696749145
494082.0,dbr:Alvan_Adams,599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.06610881776508426,"[494082, 4182344, 895031, 1156689]","[-1, 462, 462, 599]",2.7056949138641357,0.2194406752623373
494082.0,dbr:Alvan_Adams,599,dbo:team,3516612.0,dbr:Miami_Heat,0,0.06460478587569626,"[494082, 3889272, 2621025, 3516612]","[-1, 123, 123, 189]",2.5513391494750977,0.21911087756421135
846737.0,dbr:Bill_Bradley,599,dbo:team,3782014.0,dbr:New_York_Knicks,1,0.085164881789033,"[846737, 1321700, 846745, 3782014]","[-1, 65, 65, 189]",2.5972321033477783,0.2586175095583368
846737.0,dbr:Bill_Bradley,599,dbo:team,4525720.0,dbr:Sacramento_Kings,0,0.0381752307009866,"[846737, 769522, 2036260, 4525720]","[-1, 480, 480, 599]",2.8895881175994873,0.24674626020792506
846737.0,dbr:Bill_Bradley,599,dbo:team,4628461.0,dbr:Seattle_SuperSonics,0,0.043134621645741375,"[846737, 1321700, 846745, 4196744, 949061, 4628461]","[-1, 65, 65, 123, 123, 189]",2.571108102798462,0.247973010830032
846737.0,dbr:Bill_Bradley,599,dbo:team,4567127.0,dbr:San_Antonio_Spurs,0,0.03783863074320546,"[846737, 769522, 2907008, 4567127]","[-1, 480, 480, 599]",2.992648124694824,0.24666321940370609
851870.0,dbr:Bill_Russell,599,dbo:team,917821.0,dbr:Boston_Celtics,1,0.1804169059852898,"[851870, 851874, 917821]","[-1, 602, 599]",2.5796799659729004,0.27411940992998707
851870.0,dbr:Bill_Russell,599,dbo:team,4628461.0,dbr:Seattle_SuperSonics,0,0.0661423873175429,"[851870, 4568464, 4080867, 4628461]","[-1, 123, 123, 189]",2.4930710792541504,0.24451809037706607
851870.0,dbr:Bill_Russell,599,dbo:team,4119746.0,dbr:Phoenix_Suns,0,0.052811192958061776,"[851870, 851874, 917821, 1385193, 1385197, 4119746]","[-1, 602, 599, 599, 602, 599]",2.498703956604004,0.24128000392587584
851870.0,dbr:Bill_Russell,599,dbo:team,2364618.0,dbr:Houston_Rockets,0,0.0478356885097863,"[851870, 685564, 2780445, 2364618]","[-1, 189, 189, 599]",2.730952024459839,0.24008249576707105
890343.0,dbr:Bob_Pettit,599,dbo:team,685564.0,dbr:Atlanta_Hawks,1,0.5103733865718019,"[890343, 685564]","[-1, 189]",2.469511032104492,0.3427207854762474
890343.0,dbr:Bob_Pettit,599,dbo:team,4628461.0,dbr:Seattle_SuperSonics,0,0.0621217482226875,"[890343, 3038271, 2097918, 4628461]","[-1, 123, 123, 189]",2.4957778453826904,0.21891082186655272
890343.0,dbr:Bob_Pettit,599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.06319177842334785,"[890343, 890345, 685564, 2973718, 1156689]","[-1, 602, 599, 599, 189]",2.4909908771514893,0.21914518842448708
890343.0,dbr:Bob_Pettit,599,dbo:team,3218267.0,dbr:Los_Angeles_Lakers,0,0.06354771562300092,"[890343, 3038271, 931893, 3218267]","[-1, 123, 123, 599]",2.5322248935699463,0.21922320423271283
1029025.0,dbr:Calvin_Murphy,599,dbo:team,2364618.0,dbr:Houston_Rockets,1,0.5103733865718019,"[1029025, 2364618]","[-1, 189]",2.504516124725342,0.3408922233501048
1029025.0,dbr:Calvin_Murphy,599,dbo:team,4567127.0,dbr:San_Antonio_Spurs,0,0.06422307134683757,"[1029025, 1029026, 2364618, 2287973, 4567127]","[-1, 602, 599, 601, 601]",2.559412956237793,0.2182008680329743
1029025.0,dbr:Calvin_Murphy,599,dbo:team,5452049.0,dbr:Washington_Wizards,0,0.07721931850314648,"[1029025, 3789441, 3562163, 5452049]","[-1, 123, 123, 189]",2.4779160022735596,0.2210551678619323
1029025.0,dbr:Calvin_Murphy,599,dbo:team,3218267.0,dbr:Los_Angeles_Lakers,0,0.07176043331955753,"[1029025, 3789441, 908505, 3218267]","[-1, 123, 123, 189]",2.549985885620117,0.2198517407549886
1397869.0,dbr:Darrell_Griffith,599,dbo:team,5305646.0,dbr:Utah_Jazz,1,0.5103733865718019,"[1397869, 5305646]","[-1, 189]",2.478013038635254,0.34292788648373845
1397869.0,dbr:Darrell_Griffith,599,dbo:team,4567127.0,dbr:San_Antonio_Spurs,0,0.05878746216565623,"[1397869, 3229261, 763783, 4567127]","[-1, 123, 123, 189]",2.4698328971862793,0.21831397025249671
1397869.0,dbr:Darrell_Griffith,599,dbo:team,3218267.0,dbr:Los_Angeles_Lakers,0,0.06076945991285316,"[1397869, 3229261, 2829669, 3218267]","[-1, 123, 123, 189]",2.494771957397461,0.21874709713618443
1397869.0,dbr:Darrell_Griffith,599,dbo:team,4525720.0,dbr:Sacramento_Kings,0,0.06653095976048364,"[1397869, 1397870, 5305646, 3566361, 4525720]","[-1, 602, 599, 599, 189]",2.4756920337677,0.22001104612758046
1431155.0,dbr:David_Robinson_(basketball),599,dbo:team,4567127.0,dbr:San_Antonio_Spurs,1,0.1804169059852898,"[1431155, 1431156, 4567127]","[-1, 602, 599]",2.479902982711792,0.27400683293833406
1431155.0,dbr:David_Robinson_(basketball),599,dbo:team,3782014.0,dbr:New_York_Knicks,0,0.048088731276817585,"[1431155, 78, 2781453, 3782014]","[-1, 660, 660, 599]",2.5444071292877197,0.24004463113123126
1431155.0,dbr:David_Robinson_(basketball),599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.06625150306982118,"[1431155, 1431156, 4567127, 3038845, 1156689]","[-1, 602, 599, 599, 189]",2.4917399883270264,0.2444443415046621
1431155.0,dbr:David_Robinson_(basketball),599,dbo:team,4628461.0,dbr:Seattle_SuperSonics,0,0.054150703341476196,"[1431155, 1431156, 4567127, 3116669, 4628461]","[-1, 602, 599, 189, 236]",2.5545899868011475,0.24150419442577267
1522148.0,dbr:Dirk_Nowitzki,599,dbo:team,1357357.0,dbr:Dallas_Mavericks,1,0.1804169059852898,"[1522148, 1522151, 1357357]","[-1, 602, 599]",2.4956419467926025,0.271110859724783
1522148.0,dbr:Dirk_Nowitzki,599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.06656492078706219,"[1522148, 3740468, 3567640, 1156689]","[-1, 329, 329, 599]",2.4807231426239014,0.24193662906766086
1522148.0,dbr:Dirk_Nowitzki,599,dbo:team,2450828.0,dbr:Indiana_Pacers,0,0.07528071414123715,"[1522148, 3740468, 1548522, 2450828]","[-1, 329, 599, 599]",2.4744489192962646,0.2440545148517492
1522148.0,dbr:Dirk_Nowitzki,599,dbo:team,1487110.0,dbr:Detroit_Pistons,0,0.07053067940950958,"[1522148, 1357357, 1137937, 1137940, 1487110]","[-1, 599, 599, 602, 599]",2.491349935531616,0.242897996355807
1670176.0,dbr:Elgin_Baylor,599,dbo:team,3218267.0,dbr:Los_Angeles_Lakers,1,0.5103733865718019,"[1670176, 3218267]","[-1, 189]",2.471975803375244,0.34260961467768836
1670176.0,dbr:Elgin_Baylor,599,dbo:team,5305646.0,dbr:Utah_Jazz,0,0.047388765265288166,"[1670176, 78, 2427667, 5305646]","[-1, 660, 660, 599]",2.715880870819092,0.21563928352954295
1670176.0,dbr:Elgin_Baylor,599,dbo:team,1487110.0,dbr:Detroit_Pistons,0,0.08031540270079199,"[1670176, 4628295, 1625483, 1487110]","[-1, 123, 123, 189]",2.4880988597869873,0.2228577477579423
1670176.0,dbr:Elgin_Baylor,599,dbo:team,3782014.0,dbr:New_York_Knicks,0,0.06236638054937883,"[1670176, 4628295, 1625483, 1625487, 3782014]","[-1, 123, 123, 602, 599]",2.471252918243408,0.21889335403482632
1940481.0,dbr:Fred_Brown_(basketball),599,dbo:team,4628461.0,dbr:Seattle_SuperSonics,1,0.5103733865718019,"[1940481, 4628461]","[-1, 189]",2.469245195388794,0.3421106884510364
1940481.0,dbr:Fred_Brown_(basketball),599,dbo:team,4110464.0,dbr:Philadelphia_76ers,0,0.06663977367243634,"[1940481, 769614, 2630055, 4110464]","[-1, 462, 462, 599]",2.5116219520568848,0.21951064375294077
